,Reg. Year,Sex,Age,Basic Qualification,Additional Qualification,State
0,2012,Male,65,MBBS Armed Forces Medical College,MD OBST GYNAE Poona University,west bengal
1,2012,Male,31,MBBS Agartala Government Medical College Tripura University,,tripura
2,2012,Female,30,MBBS Agartala Government Medical College Tripura University,,west bengal
3,2012,Female,30,MBBS Agartala Government Medical College Tripura University,,tripura
4,2012,Female,31,MBBS Agartala Government Medical College Tripura University,,tripura
5,2012,Male,30,MBBS Agartala Government Medical College Tripura University,,tripura
6,2012,Male,30,MBBS Agartala Government Medical College Tripura University,,tripura
7,2012,Female,30,MBBS Agartala Government Medical College Tripura University,,tripura
8,2012,Male,30,MBBS Agartala Government Medical College Tripura University,,tripura
9,2012,Male,30,MBBS Agartala Government Medical College Tripura University,,tripura
10,2012,Female,31,MBBS Agartala Government Medical College Tripura University,,tripura
11,2012,Male,73,MBBS Osmania University,MD Paediatrics The All In dia Institute of Medical Science,manipur
12,2012,Male,30,MBBS Agartala Government Medical College Tripura University,,tripura
13,2012,Male,31,MBBS Agartala Government Medical College Tripura University,,tripura
14,2012,Male,30,MBBS Agartala Government Medical College Tripura University,,tripura
15,2012,Female,31,MBBS Agartala Government Medical College Tripura University,,tripura
16,2012,Male,32,MBBS Agartala Government Medical College Tripura University,,tripura
17,2012,Male,30,MBBS Agartala Government Medical College Tripura University,,tripura
18,2012,Male,31,MBBS Agartala Government Medical College Tripura University,,tripura
19,2012,Male,31,MBBS Agartala Government Medical College Tripura University,,tripura
20,2012,Female,31,MBBS Agartala Government Medical College Tripura University,,tripura
21,2012,Male,31,MBBS Agartala Government Medical College Tripura University,,tripura
22,2012,Female,30,MBBS Agartala Government Medical College Tripura University,,tripura
23,2012,Male,31,MBBS Agartala Government Medical College Tripura University,,tripura
24,2012,Female,31,MBBS Agartala Government Medical College Tripura University,,west bengal
25,2012,Female,31,MBBS Agartala Government Medical College Tripura University,,tripura
26,2012,Female,33,MBBS Agartala Government Medical College Tripura University,,tripura
27,2012,Female,30,MBBS Agartala Government Medical College Tripura University,,tripura
29,2012,Male,30,MBBS Agartala Government Medical College Tripura University,,tripura
30,2012,Male,31,MBBS Agartala Government Medical College Tripura University,,tripura
31,2012,Female,30,MBBS Agartala Government Medical College Tripura University,,tripura
32,2012,Female,31,MBBS Agartala Government Medical College Tripura University,,tripura
33,2012,Male,30,MBBS Agartala Government Medical College Tripura University,,tripura
34,2012,Female,30,MBBS Agartala Government Medical College Tripura University,,tripura
35,2012,Female,31,MBBS Agartala Government Medical College Tripura University,,tripura
36,2012,Male,30,MBBS Agartala Government Medical College Tripura University,,tripura
37,2012,Male,30,MBBS Agartala Government Medical College Tripura University,,tripura
38,2012,Female,30,MBBS Agartala Government Medical College Tripura University,,tripura
39,2012,Female,30,MBBS Agartala Government Medical College Tripura University,,tripura
40,2012,Male,30,MBBS Agartala Government Medical College Tripura University,,madhya pradesh
41,2012,Male,32,MBBS Agartala Government Medical College Tripura University,,tripura
42,2012,Male,30,MBBS Agartala Government Medical College Tripura University,,tripura
43,2012,Male,33,MBBS Agartala Government Medical College Tripura University,,tripura
44,2012,Female,30,MBBS Agartala Government Medical College Tripura University,,tripura
45,2012,Female,30,MBBS Agartala Government Medical College Tripura University,,tripura
46,2012,Female,31,MBBS Agartala Government Medical College Tripura,,tripura
47,2012,Female,32,MBBS Agartala Government Medical College Tripura University,,tripura
48,2012,Female,31,MBBS Agartala Government Medical College Tripura University,,tripura
49,2012,Male,33,MBBS Agartala Government Medical College Tripura University,,tripura
50,2012,Female,30,MBBS Agartala Government Medical College Tripura University,,tripura
51,2012,Female,30,MBBS Agartala Government Medical College Tripura University,,west bengal
52,2012,Female,30,MBBS Agartala Government Medical College Tripura University,,tripura
53,2012,Male,31,MBBS Agartala Government Medical College Tripura University,,tripura
54,2012,Female,30,MBBS Agartala Government Medical College Tripura University,,tripura
55,2012,Male,30,MBBS Agartala Government Medical College Tripura University,,tripura
56,2012,Female,31,MBBS Agartala Government Medical College Tripura University,,tripura
57,2012,Male,31,MBBS Agartala Government Medical College Tripura University,,tripura
58,2012,Male,31,MBBS Agartala Government Medical College Tripura University,,tripura
59,2012,Male,31,MBBS Agartala Government Medical College Tripura University,,tripura
60,2012,Male,30,MBBS Agartala Government Medical College Tripura University,,tripura
61,2012,Male,33,MBBS Agartala Government Medical College Tripura University,,tripura
62,2012,Male,43,MBBS from Regional Institute of Medical Science Imphal Manipur University,,tripura
63,2012,Male,31,MBBS Agartala Government Medical College Tripura University,,tripura
65,2012,Male,30,MBBS Agartala Government Medical College Tripura University,,tripura
66,2012,Male,31,MBBS Agartala Government Medical College Tripura University,,tripura
67,2012,Female,31,MBBS Agartala Government Medical College Tripura University,,tripura
68,2012,Male,61,MBBS from Regional Medical College Imphol Manipur,Diploma in Ophthalmic Medicine Surgery from Chhatrapati Shahuji Maharaj University Kanpur,tripura
69,2012,Male,31,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,tripura
72,2012,Female,29,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,west bengal
73,2012,Male,38,MBBS Gauhati Medical College GuwahatiUniversity of Gauhati,MD Phychiatry Dibrugarh University May,west bengal
74,2012,Female,31,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,assam
75,2012,Male,32,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,delhi
76,2012,Female,30,MBBS Agartala Government Medical College Tripura University,,tripura
77,2012,Female,30,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,haryana
78,2012,Male,31,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,west bengal
