,City,State
0,Mumbai,Maharashtra
1,Delhi,Delhi
2,Bangalore,Karnataka
3,Hyderabad,Andhra Pradesh
4,Ahmedabad,Gujarat
5,Chennai,Tamil Nadu
6,Kolkata,West Bengal
7,Surat,Gujarat
8,Pune,Maharashtra
9,Jaipur,Rajasthan
10,Lucknow,Uttar Pradesh
11,Kanpur,Uttar Pradesh
12,Nagpur,Maharashtra
13,Indore,Madhya Pradesh
14,Thane,Maharashtra
15,Bhopal,Madhya Pradesh
16,Visakhapatnam,Andhra Pradesh
17,Pimpri and Chinchwad,Maharashtra
18,Patna,Bihar
19,Vadodara,Gujarat
20,Ghaziabad,Uttar Pradesh
21,Ludhiana,Punjab
22,Agra,Uttar Pradesh
23,Nashik,Maharashtra
24,Faridabad,Haryana
25,Meerut,Uttar Pradesh
26,Rajkot,Gujarat
27,Kalyan and Dombivali,Maharashtra
28,Vasai Virar,Maharashtra
29,Varanasi,Uttar Pradesh
30,Srinagar,Jammu and Kashmir
31,Aurangabad,Maharashtra
32,Dhanbad,Jharkhand
33,Amritsar,Punjab
34,Navi Mumbai,Maharashtra
35,Allahabad,Uttar Pradesh
36,Haora,West Bengal
37,Ranchi,Jharkhand
38,Gwalior,Madhya Pradesh
39,Jabalpur,Madhya Pradesh
40,Coimbatore,Tamil Nadu
41,Vijayawada,Andhra Pradesh
42,Jodhpur,Rajasthan
43,Madurai,Tamil Nadu
44,Raipur,Chhattisgarh
45,Kota,Rajasthan
46,Chandigarh,Chandigarh
47,Guwahati,Assam
48,Solapur,Maharashtra
49,Hubli and Dharwad,Karnataka
50,Bareilly,Uttar Pradesh
51,Mysore,Karnataka
52,Moradabad,Uttar Pradesh
53,Gurgaon,Haryana
54,Aligarh,Uttar Pradesh
55,Jalandhar,Punjab
56,Tiruchirappalli,Tamil Nadu
57,Bhubaneswar,Orissa
58,Salem,Tamil Nadu
59,Mira and Bhayander,Maharashtra
60,Thiruvananthapuram,Kerala
61,Bhiwandi,Maharashtra
62,Saharanpur,Uttar Pradesh
63,Gorakhpur,Uttar Pradesh
64,Guntur,Andhra Pradesh
65,Amravati,Maharashtra
66,Bikaner,Rajasthan
67,Noida,Uttar Pradesh
68,Jamshedpur,Jharkhand
69,Bhilai Nagar,Chhattisgarh
70,Warangal,Andhra Pradesh
71,Cuttack,Orissa
72,Firozabad,Uttar Pradesh
73,Kochi,Kerala
74,Bhavnagar,Gujarat
75,Dehradun,Uttarakhand
76,Durgapur,West Bengal
77,Asansol,West Bengal
78,Nanded Waghala,Maharashtra
79,Kolapur,Maharashtra
80,Ajmer,Rajasthan
81,Gulbarga,Karnataka
82,Loni,Uttar Pradesh
83,Ujjain,Madhya Pradesh
84,Siliguri,West Bengal
85,Ulhasnagar,Maharashtra
86,Jhansi,Uttar Pradesh
87,Sangli Miraj Kupwad,Maharashtra
88,Jammu,Jammu and Kashmir
89,Nellore,Andhra Pradesh
90,Mangalore,Karnataka
91,Belgaum,Karnataka
92,Jamnagar,Gujarat
93,Tirunelveli,Tamil Nadu
94,Malegaon,Maharashtra
95,Gaya,Bihar
96,Ambattur,Tamil Nadu
97,Jalgaon,Maharashtra
98,Udaipur,Rajasthan
99,Maheshtala,West Bengal
100,Tiruppur,Tamil Nadu
101,Davanagere,Karnataka
102,Kozhikode,Kerala
103,Kurnool,Andhra Pradesh
104,Akola,Maharashtra
105,Rajpur Sonarpur,West Bengal
106,Bokaro Steel,Jharkhand
107,Bellary,Karnataka
108,Patiala,Punjab
109,South Dum Dum,West Bengal
110,Rajarhat Gopalpur,West Bengal
111,Bhagalpur,Bihar
112,Agartala,Tripura
113,Muzaffarnagar,Uttar Pradesh
114,Bhatpara,West Bengal
115,Latur,Maharashtra
116,Panihati,West Bengal
117,Dhule,Maharashtra
118,Rohtak,Haryana
119,Korba,Chhattisgarh
120,Bhilwara,Rajasthan
121,Brahmapur Town,Orissa
122,Muzaffarpur,Bihar
123,Ahmadnagar,Maharashtra
124,Mathura,Uttar Pradesh
125,Kollam,Kerala
126,Avadi,Tamil Nadu
127,Kadapa,Andhra Pradesh
128,Rajahmundry,Andhra Pradesh
129,Bilaspur,Chhattisgarh
130,Kamarhati,West Bengal
131,Shahjahanpur,Uttar Pradesh
132,Bijapur,Karnataka
133,Rampur,Uttar Pradesh
134,Shimoga,Karnataka
135,Chandrapur,Maharashtra
136,Junagadh,Gujarat
137,Thrissur,Kerala
138,Alwar,Rajasthan
139,Barddhaman,West Bengal
140,Kulti,West Bengal
141,Kakinada,Andhra Pradesh
142,Nizamabad,Andhra Pradesh
